rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol
971,11342550,K01421.01,Unknown,CANDIDATE,CANDIDATE,0.334,0,0,0,0,1693.66,0.5283,22.604,9515.3,10.23,157,0.14
3842,5983532,K04289.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0.334,0,1,1,0,441.878,1.5335,6.647,1300,39.55,158,0.15
8489,8814872,K05574.01,Unknown,CANDIDATE,CANDIDATE,0.334,0,0,0,0,373.415,0.0532,6.617,1806,2.55,158,0.15
8305,6350522,K07565.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0.334,1,0,0,0,491.526,0.4713,12.43,457.3,1.43,159,0.15
6359,8546464,K05535.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0.334,1,0,0,0,253.652,20.7849,3.85,26456,1169.79,159,0.15
2990,6444896,K03138.02,Unknown,FALSE POSITIVE,FALSE POSITIVE,0.374,1,0,0,0,19.5353,0.702,1.013,1732,0.53,161,0.16
5976,4242806,K05049.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0.334,1,0,1,0,343.498,0.3516,7.46,431,1.27,164,0.17
5936,6447372,K05285.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0.334,1,0,0,0,405.321,0.2964,7.77,561.7,1.34,166,0.18
5521,9280239,K03975.01,Kepler-1536 b,CONFIRMED,CANDIDATE,0.99,0,0,0,0,364.752,0.875,13.057,1481.5,2.89,166,0.18
6732,7416016,K05387.01,Unknown,CANDIDATE,CANDIDATE,0.334,0,0,0,0,297.783,0.2697,18.38,392.4,1.17,167,0.18
8731,4750406,K05082.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0.334,1,0,0,0,379.631,0.1257,16.78,1036.2,1.67,168,0.19
454,3644071,K01192.01,Unknown,CANDIDATE,CANDIDATE,0.334,0,0,0,0,1295.36,1.3935,28.297,8708,57.82,169,0.19
7041,10163066,K06215.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0.334,1,0,0,0,462.123,0.2396,8.46,699,1.9,169,0.19
